Time (s),Temp (Â°C),Error,Control Input
511.0000,13.0257,11.9743,9.5794
512.0000,13.0199,11.9801,9.5840
513.0000,13.0142,11.9858,9.5886
514.0000,13.0085,11.9915,9.5932
515.0000,13.0028,11.9972,9.5977
516.0000,12.9971,12.0029,9.6023
517.0000,12.9915,12.0085,9.6068
518.0000,12.9858,12.0142,9.6113
519.0000,12.9802,12.0198,9.6158
520.0000,12.9746,12.0254,9.6203
521.0000,12.9690,12.0310,9.6248
522.0000,12.9634,12.0366,9.6292
523.0000,12.9579,12.0421,9.6337
524.0000,12.9524,12.0476,9.6381
525.0000,12.9468,12.0532,9.6425
526.0000,12.9413,12.0587,9.6469
527.0000,12.9358,12.0642,9.6513
528.0000,12.9304,12.0696,9.6557
529.0000,12.9249,12.0751,9.6601
530.0000,12.9195,12.0805,9.6644
531.0000,12.9140,12.0860,9.6688
532.0000,12.9086,12.0914,9.6731
533.0000,12.9032,12.0968,9.6774
534.0000,12.8979,12.1021,9.6817
535.0000,12.8925,12.1075,9.6860
536.0000,12.8871,12.1129,9.6903
537.0000,12.8818,12.1182,9.6945
538.0000,12.8765,12.1235,9.6988
539.0000,12.8712,12.1288,9.7030
540.0000,12.8659,12.1341,9.7073
541.0000,12.8607,12.1393,9.7115
542.0000,12.8554,12.1446,9.7157
543.0000,12.8502,12.1498,9.7199
544.0000,12.8450,12.1550,9.7240
545.0000,12.8398,12.1602,9.7282
546.0000,12.8346,12.1654,9.7323
547.0000,12.8294,12.1706,9.7365
548.0000,12.8243,12.1757,9.7406
549.0000,12.8191,12.1809,9.7447
550.0000,12.8140,12.1860,9.7488
551.0000,12.8089,12.1911,9.7529
552.0000,12.8038,12.1962,9.7570
553.0000,12.7987,12.2013,9.7610
554.0000,12.7937,12.2063,9.7651
555.0000,12.7886,12.2114,9.7691
556.0000,12.7836,12.2164,9.7731
557.0000,12.7786,12.2214,9.7772
558.0000,12.7736,12.2264,9.7812
559.0000,12.7686,12.2314,9.7851
560.0000,12.7636,12.2364,9.7891
561.0000,12.7586,12.2414,9.7931
562.0000,12.7537,12.2463,9.7970
563.0000,12.7488,12.2512,9.8010
564.0000,12.7439,12.2561,9.8049
565.0000,12.7390,12.2610,9.8088
566.0000,12.7341,12.2659,9.8127
567.0000,12.7292,12.2708,9.8166
568.0000,12.7243,12.2757,9.8205
569.0000,12.7195,12.2805,9.8244
570.0000,12.7147,12.2853,9.8283
571.0000,12.7099,12.2901,9.8321
572.0000,12.7051,12.2949,9.8359
573.0000,12.7003,12.2997,9.8398
574.0000,12.6955,12.3045,9.8436
575.0000,12.6908,12.3092,9.8474
576.0000,12.6860,12.3140,9.8512
577.0000,12.6813,12.3187,9.8550
578.0000,12.6766,12.3234,9.8587
579.0000,12.6719,12.3281,9.8625
580.0000,12.6672,12.3328,9.8662
581.0000,12.6625,12.3375,9.8700
582.0000,12.6579,12.3421,9.8737
583.0000,12.6533,12.3467,9.8774
584.0000,12.6486,12.3514,9.8811
585.0000,12.6440,12.3560,9.8848
586.0000,12.6394,12.3606,9.8885
587.0000,12.6348,12.3652,9.8921
588.0000,12.6303,12.3697,9.8958
589.0000,12.6257,12.3743,9.8994
590.0000,12.6212,12.3788,9.9031
591.0000,12.6166,12.3834,9.9067
592.0000,12.6121,12.3879,9.9103
593.0000,12.6076,12.3924,9.9139
594.0000,12.6031,12.3969,9.9175
595.0000,12.5986,12.4014,9.9211
596.0000,12.5942,12.4058,9.9247
597.0000,12.5897,12.4103,9.9282
598.0000,12.5853,12.4147,9.9318
599.0000,12.5809,12.4191,9.9353
600.0000,12.5765,12.4235,9.9388
601.0000,12.5721,12.4279,9.9423
602.0000,12.5677,12.4323,9.9459
603.0000,12.5633,12.4367,9.9493
604.0000,12.5590,12.4410,9.9528
605.0000,12.5546,12.4454,9.9563
606.0000,12.5503,12.4497,9.9598
607.0000,12.5460,12.4540,9.9632
608.0000,12.5417,12.4583,9.9667
609.0000,12.5374,12.4626,9.9701
610.0000,12.5331,12.4669,9.9735
611.0000,12.5288,12.4712,9.9769
612.0000,12.5246,12.4754,9.9803
613.0000,12.5203,12.4797,9.9837
614.0000,12.5161,12.4839,9.9871
615.0000,12.5119,12.4881,9.9905
616.0000,12.5077,12.4923,9.9938
617.0000,12.5035,12.4965,9.9972
618.0000,12.4993,12.5007,10.0005
619.0000,12.4952,12.5048,10.0039
620.0000,12.4910,12.5090,10.0072
621.0000,12.4869,12.5131,10.0105
622.0000,12.4827,12.5173,10.0138
623.0000,12.4786,12.5214,10.0171
624.0000,12.4745,12.5255,10.0204
625.0000,12.4704,12.5296,10.0237
626.0000,12.4664,12.5336,10.0269
627.0000,12.4623,12.5377,10.0302
628.0000,12.4582,12.5418,10.0334
629.0000,12.4542,12.5458,10.0366
630.0000,12.4502,12.5498,10.0399
631.0000,12.4461,12.5539,10.0431
632.0000,12.4421,12.5579,10.0463
633.0000,12.4381,12.5619,10.0495
634.0000,12.4342,12.5658,10.0527
635.0000,12.4302,12.5698,10.0558
636.0000,12.4262,12.5738,10.0590
637.0000,12.4223,12.5777,10.0622
638.0000,12.4184,12.5816,10.0653
639.0000,12.4144,12.5856,10.0684
640.0000,12.4105,12.5895,10.0716
641.0000,12.4066,12.5934,10.0747
642.0000,12.4027,12.5973,10.0778
643.0000,12.3989,12.6011,10.0809
644.0000,12.3950,12.6050,10.0840
645.0000,12.3912,12.6088,10.0871
646.0000,12.3873,12.6127,10.0901
647.0000,12.3835,12.6165,10.0932
648.0000,12.3797,12.6203,10.0963
649.0000,12.3759,12.6241,10.0993
650.0000,12.3721,12.6279,10.1023
651.0000,12.3683,12.6317,10.1054
652.0000,12.3645,12.6355,10.1084
653.0000,12.3608,12.6392,10.1114
654.0000,12.3570,12.6430,10.1144
655.0000,12.3533,12.6467,10.1174
656.0000,12.3495,12.6505,10.1204
657.0000,12.3458,12.6542,10.1233
658.0000,12.3421,12.6579,10.1263
659.0000,12.3384,12.6616,10.1293
660.0000,12.3347,12.6653,10.1322
661.0000,12.3311,12.6689,10.1351
662.0000,12.3274,12.6726,10.1381
663.0000,12.3238,12.6762,10.1410
664.0000,12.3201,12.6799,10.1439
665.0000,12.3165,12.6835,10.1468
666.0000,12.3129,12.6871,10.1497
667.0000,12.3093,12.6907,10.1526
668.0000,12.3057,12.6943,10.1555
669.0000,12.3021,12.6979,10.1583
670.0000,12.2985,12.7015,10.1612
671.0000,12.2950,12.7050,10.1640
672.0000,12.2914,12.7086,10.1669
673.0000,12.2879,12.7121,10.1697
674.0000,12.2843,12.7157,10.1725
675.0000,12.2808,12.7192,10.1753
676.0000,12.2773,12.7227,10.1781
677.0000,12.2738,12.7262,10.1809
678.0000,12.2703,12.7297,10.1837
679.0000,12.2669,12.7331,10.1865
680.0000,12.2634,12.7366,10.1893
681.0000,12.2599,12.7401,10.1921
682.0000,12.2565,12.7435,10.1948
683.0000,12.2530,12.7470,10.1976
684.0000,12.2496,12.7504,10.2003
685.0000,12.2462,12.7538,10.2030
686.0000,12.2428,12.7572,10.2058
687.0000,12.2394,12.7606,10.2085
688.0000,12.2360,12.7640,10.2112
689.0000,12.2326,12.7674,10.2139
690.0000,12.2293,12.7707,10.2166
691.0000,12.2259,12.7741,10.2193
692.0000,12.2226,12.7774,10.2219
693.0000,12.2192,12.7808,10.2246
694.0000,12.2159,12.7841,10.2273
695.0000,12.2126,12.7874,10.2299
696.0000,12.2093,12.7907,10.2326
697.0000,12.2060,12.7940,10.2352
698.0000,12.2027,12.7973,10.2378
699.0000,12.1994,12.8006,10.2404
700.0000,12.1962,12.8038,10.2431
701.0000,12.1929,12.8071,10.2457
702.0000,12.1897,12.8103,10.2483
703.0000,12.1864,12.8136,10.2508
704.0000,12.1832,12.8168,10.2534
705.0000,12.1800,12.8200,10.2560
706.0000,12.1768,12.8232,10.2586
707.0000,12.1736,12.8264,10.2611
708.0000,12.1704,12.8296,10.2637
709.0000,12.1672,12.8328,10.2662
710.0000,12.1641,12.8359,10.2687
711.0000,12.1609,12.8391,10.2713
712.0000,12.1578,12.8422,10.2738
713.0000,12.1546,12.8454,10.2763
714.0000,12.1515,12.8485,10.2788
715.0000,12.1484,12.8516,10.2813
716.0000,12.1453,12.8547,10.2838
717.0000,12.1422,12.8578,10.2863
718.0000,12.1391,12.8609,10.2888
719.0000,12.1360,12.8640,10.2912
720.0000,12.1329,12.8671,10.2937
721.0000,12.1298,12.8702,10.2961
722.0000,12.1268,12.8732,10.2986
723.0000,12.1237,12.8763,10.3010
724.0000,12.1207,12.8793,10.3034
725.0000,12.1177,12.8823,10.3059
726.0000,12.1146,12.8854,10.3083
727.0000,12.1116,12.8884,10.3107
728.0000,12.1086,12.8914,10.3131
729.0000,12.1056,12.8944,10.3155
730.0000,12.1027,12.8973,10.3179
731.0000,12.0997,12.9003,10.3203
732.0000,12.0967,12.9033,10.3226
733.0000,12.0938,12.9062,10.3250
734.0000,12.0908,12.9092,10.3274
735.0000,12.0879,12.9121,10.3297
736.0000,12.0849,12.9151,10.3320
737.0000,12.0820,12.9180,10.3344
738.0000,12.0791,12.9209,10.3367
739.0000,12.0762,12.9238,10.3390
740.0000,12.0733,12.9267,10.3414
741.0000,12.0704,12.9296,10.3437
742.0000,12.0675,12.9325,10.3460
743.0000,12.0647,12.9353,10.3483
744.0000,12.0618,12.9382,10.3505
745.0000,12.0590,12.9410,10.3528
746.0000,12.0561,12.9439,10.3551
747.0000,12.0533,12.9467,10.3574
748.0000,12.0505,12.9495,10.3596
749.0000,12.0476,12.9524,10.3619
750.0000,12.0448,12.9552,10.3641
751.0000,12.0420,12.9580,10.3664
752.0000,12.0392,12.9608,10.3686
753.0000,12.0365,12.9635,10.3708
754.0000,12.0337,12.9663,10.3731
755.0000,12.0309,12.9691,10.3753
756.0000,12.0281,12.9719,10.3775
757.0000,12.0254,12.9746,10.3797
758.0000,12.0227,12.9773,10.3819
759.0000,12.0199,12.9801,10.3841
760.0000,12.0172,12.9828,10.3862
761.0000,12.0145,12.9855,10.3884
762.0000,12.0118,12.9882,10.3906
763.0000,12.0091,12.9909,10.3927
764.0000,12.0064,12.9936,10.3949
765.0000,12.0037,12.9963,10.3971
766.0000,12.0010,12.9990,10.3992
767.0000,11.9983,13.0017,10.4013
768.0000,11.9957,13.0043,10.4035
769.0000,11.9930,13.0070,10.4056
770.0000,11.9904,13.0096,10.4077
771.0000,11.9877,13.0123,10.4098
772.0000,11.9851,13.0149,10.4119
773.0000,11.9825,13.0175,10.4140
774.0000,11.9799,13.0201,10.4161
775.0000,11.9773,13.0227,10.4182
776.0000,11.9747,13.0253,10.4203
777.0000,11.9721,13.0279,10.4223
778.0000,11.9695,13.0305,10.4244
779.0000,11.9669,13.0331,10.4265
780.0000,11.9644,13.0356,10.4285
781.0000,11.9618,13.0382,10.4306
782.0000,11.9592,13.0408,10.4326
783.0000,11.9567,13.0433,10.4346
784.0000,11.9542,13.0458,10.4367
785.0000,11.9516,13.0484,10.4387
786.0000,11.9491,13.0509,10.4407
787.0000,11.9466,13.0534,10.4427
788.0000,11.9441,13.0559,10.4447
789.0000,11.9416,13.0584,10.4467
790.0000,11.9391,13.0609,10.4487
791.0000,11.9366,13.0634,10.4507
792.0000,11.9341,13.0659,10.4527
793.0000,11.9317,13.0683,10.4547
794.0000,11.9292,13.0708,10.4566
795.0000,11.9268,13.0732,10.4586
796.0000,11.9243,13.0757,10.4606
797.0000,11.9219,13.0781,10.4625
798.0000,11.9194,13.0806,10.4645
799.0000,11.9170,13.0830,10.4664
800.0000,11.9146,13.0854,10.4683
801.0000,11.9122,13.0878,10.4703
802.0000,11.9098,13.0902,10.4722
803.0000,11.9074,13.0926,10.4741
804.0000,11.9050,13.0950,10.4760
805.0000,11.9026,13.0974,10.4779
806.0000,11.9002,13.0998,10.4798
807.0000,11.8979,13.1021,10.4817
808.0000,11.8955,13.1045,10.4836
809.0000,11.8932,13.1068,10.4855
810.0000,11.8908,13.1092,10.4874
811.0000,11.8885,13.1115,10.4892
812.0000,11.8861,13.1139,10.4911
813.0000,11.8838,13.1162,10.4930
814.0000,11.8815,13.1185,10.4948
815.0000,11.8792,13.1208,10.4967
816.0000,11.8769,13.1231,10.4985
817.0000,11.8746,13.1254,10.5003
818.0000,11.8723,13.1277,10.5022
819.0000,11.8700,13.1300,10.5040
820.0000,11.8677,13.1323,10.5058
821.0000,11.8655,13.1345,10.5076
822.0000,11.8632,13.1368,10.5094
823.0000,11.8609,13.1391,10.5112
824.0000,11.8587,13.1413,10.5130
825.0000,11.8564,13.1436,10.5148
826.0000,11.8542,13.1458,10.5166
827.0000,11.8520,13.1480,10.5184
828.0000,11.8498,13.1502,10.5202
829.0000,11.8475,13.1525,10.5220
830.0000,11.8453,13.1547,10.5237
831.0000,11.8431,13.1569,10.5255
832.0000,11.8409,13.1591,10.5273
833.0000,11.8387,13.1613,10.5290
834.0000,11.8366,13.1634,10.5307
835.0000,11.8344,13.1656,10.5325
836.0000,11.8322,13.1678,10.5342
837.0000,11.8301,13.1699,10.5360
838.0000,11.8279,13.1721,10.5377
839.0000,11.8257,13.1743,10.5394
840.0000,11.8236,13.1764,10.5411
841.0000,11.8215,13.1785,10.5428
842.0000,11.8193,13.1807,10.5445
843.0000,11.8172,13.1828,10.5462
844.0000,11.8151,13.1849,10.5479
845.0000,11.8130,13.1870,10.5496
846.0000,11.8109,13.1891,10.5513
847.0000,11.8088,13.1912,10.5530
848.0000,11.8067,13.1933,10.5547
849.0000,11.8046,13.1954,10.5563
850.0000,11.8025,13.1975,10.5580
851.0000,11.8004,13.1996,10.5596
852.0000,11.7984,13.2016,10.5613
853.0000,11.7963,13.2037,10.5630
854.0000,11.7943,13.2057,10.5646
855.0000,11.7922,13.2078,10.5662
856.0000,11.7902,13.2098,10.5679
857.0000,11.7881,13.2119,10.5695
858.0000,11.7861,13.2139,10.5711
859.0000,11.7841,13.2159,10.5727
860.0000,11.7821,13.2179,10.5744
861.0000,11.7800,13.2200,10.5760
862.0000,11.7780,13.2220,10.5776
863.0000,11.7760,13.2240,10.5792
864.0000,11.7740,13.2260,10.5808
865.0000,11.7720,13.2280,10.5824
866.0000,11.7701,13.2299,10.5839
867.0000,11.7681,13.2319,10.5855
868.0000,11.7661,13.2339,10.5871
869.0000,11.7642,13.2358,10.5887
870.0000,11.7622,13.2378,10.5902
871.0000,11.7602,13.2398,10.5918
872.0000,11.7583,13.2417,10.5934
873.0000,11.7564,13.2436,10.5949
874.0000,11.7544,13.2456,10.5965
875.0000,11.7525,13.2475,10.5980
876.0000,11.7506,13.2494,10.5996
877.0000,11.7486,13.2514,10.6011
878.0000,11.7467,13.2533,10.6026
879.0000,11.7448,13.2552,10.6041
880.0000,11.7429,13.2571,10.6057
881.0000,11.7410,13.2590,10.6072
882.0000,11.7391,13.2609,10.6087
883.0000,11.7373,13.2627,10.6102
884.0000,11.7354,13.2646,10.6117
885.0000,11.7335,13.2665,10.6132
886.0000,11.7316,13.2684,10.6147
887.0000,11.7298,13.2702,10.6162
888.0000,11.7279,13.2721,10.6177
889.0000,11.7261,13.2739,10.6191
890.0000,11.7242,13.2758,10.6206
891.0000,11.7224,13.2776,10.6221
892.0000,11.7205,13.2795,10.6236
893.0000,11.7187,13.2813,10.6250
894.0000,11.7169,13.2831,10.6265
895.0000,11.7151,13.2849,10.6279
896.0000,11.7133,13.2867,10.6294
897.0000,11.7115,13.2885,10.6308
898.0000,11.7097,13.2903,10.6323
899.0000,11.7079,13.2921,10.6337
900.0000,11.7061,13.2939,10.6351
901.0000,11.7043,13.2957,10.6366
902.0000,11.7025,13.2975,10.6380
903.0000,11.7007,13.2993,10.6394
904.0000,11.6990,13.3010,10.6408
905.0000,11.6972,13.3028,10.6422
906.0000,11.6954,13.3046,10.6436
907.0000,11.6937,13.3063,10.6450
908.0000,11.6919,13.3081,10.6464
909.0000,11.6902,13.3098,10.6478
910.0000,11.6885,13.3115,10.6492
911.0000,11.6867,13.3133,10.6506
912.0000,11.6850,13.3150,10.6520
913.0000,11.6833,13.3167,10.6534
914.0000,11.6816,13.3184,10.6547
915.0000,11.6799,13.3201,10.6561
916.0000,11.6781,13.3219,10.6575
917.0000,11.6764,13.3236,10.6588
918.0000,11.6748,13.3252,10.6602
919.0000,11.6731,13.3269,10.6616
920.0000,11.6714,13.3286,10.6629
921.0000,11.6697,13.3303,10.6642
922.0000,11.6680,13.3320,10.6656
923.0000,11.6663,13.3337,10.6669
924.0000,11.6647,13.3353,10.6683
925.0000,11.6630,13.3370,10.6696
926.0000,11.6614,13.3386,10.6709
927.0000,11.6597,13.3403,10.6722
928.0000,11.6581,13.3419,10.6735
929.0000,11.6564,13.3436,10.6749
930.0000,11.6548,13.3452,10.6762
931.0000,11.6532,13.3468,10.6775
932.0000,11.6515,13.3485,10.6788
933.0000,11.6499,13.3501,10.6801
934.0000,11.6483,13.3517,10.6814
935.0000,11.6467,13.3533,10.6827
936.0000,11.6451,13.3549,10.6839
937.0000,11.6435,13.3565,10.6852
938.0000,11.6419,13.3581,10.6865
939.0000,11.6403,13.3597,10.6878
940.0000,11.6387,13.3613,10.6890
941.0000,11.6371,13.3629,10.6903
942.0000,11.6355,13.3645,10.6916
943.0000,11.6340,13.3660,10.6928
944.0000,11.6324,13.3676,10.6941
945.0000,11.6308,13.3692,10.6953
946.0000,11.6293,13.3707,10.6966
947.0000,11.6277,13.3723,10.6978
948.0000,11.6262,13.3738,10.6991
949.0000,11.6246,13.3754,10.7003
950.0000,11.6231,13.3769,10.7015
951.0000,11.6215,13.3785,10.7028
952.0000,11.6200,13.3800,10.7040
953.0000,11.6185,13.3815,10.7052
954.0000,11.6170,13.3830,10.7064
955.0000,11.6155,13.3845,10.7076
956.0000,11.6139,13.3861,10.7088
957.0000,11.6124,13.3876,10.7101
958.0000,11.6109,13.3891,10.7113
959.0000,11.6094,13.3906,10.7125
960.0000,11.6079,13.3921,10.7137
961.0000,11.6064,13.3936,10.7148
962.0000,11.6050,13.3950,10.7160
963.0000,11.6035,13.3965,10.7172
964.0000,11.6020,13.3980,10.7184
965.0000,11.6005,13.3995,10.7196
966.0000,11.5991,13.4009,10.7208
967.0000,11.5976,13.4024,10.7219
968.0000,11.5961,13.4039,10.7231
969.0000,11.5947,13.4053,10.7243
970.0000,11.5932,13.4068,10.7254
971.0000,11.5918,13.4082,10.7266
972.0000,11.5903,13.4097,10.7277
973.0000,11.5889,13.4111,10.7289
974.0000,11.5875,13.4125,10.7300
975.0000,11.5860,13.4140,10.7312
976.0000,11.5846,13.4154,10.7323
977.0000,11.5832,13.4168,10.7334
978.0000,11.5818,13.4182,10.7346
979.0000,11.5804,13.4196,10.7357
980.0000,11.5790,13.4210,10.7368
981.0000,11.5776,13.4224,10.7380
982.0000,11.5762,13.4238,10.7391
983.0000,11.5748,13.4252,10.7402
984.0000,11.5734,13.4266,10.7413
985.0000,11.5720,13.4280,10.7424
986.0000,11.5706,13.4294,10.7435
987.0000,11.5692,13.4308,10.7446
988.0000,11.5678,13.4322,10.7457
989.0000,11.5665,13.4335,10.7468
990.0000,11.5651,13.4349,10.7479
991.0000,11.5637,13.4363,10.7490
992.0000,11.5624,13.4376,10.7501
993.0000,11.5610,13.4390,10.7512
994.0000,11.5597,13.4403,10.7523
995.0000,11.5583,13.4417,10.7533
996.0000,11.5570,13.4430,10.7544
997.0000,11.5557,13.4443,10.7555
998.0000,11.5543,13.4457,10.7565
999.0000,11.5530,13.4470,10.7576
